=== none / inter / seed42
Epoch 016 | train_loss=0.2256 | train_acc=0.9930 | valid_loss=0.3250 | valid_acc=0.9536 | valid_macro_f1=0.6845 | lr=0.000500
Epoch 017 | train_loss=0.2241 | train_acc=0.9940 | valid_loss=0.3313 | valid_acc=0.9552 | valid_macro_f1=0.6497 | lr=0.000500
Epoch 018 | train_loss=0.2241 | train_acc=0.9937 | valid_loss=0.2972 | valid_acc=0.9638 | valid_macro_f1=0.6881 | lr=0.000250
Epoch 019 | train_loss=0.2223 | train_acc=0.9940 | valid_loss=0.2861 | valid_acc=0.9696 | valid_macro_f1=0.7165 | lr=0.000250
Epoch 020 | train_loss=0.2208 | train_acc=0.9947 | valid_loss=0.2886 | valid_acc=0.9669 | valid_macro_f1=0.7463 | lr=0.000250
Epoch 021 | train_loss=0.2210 | train_acc=0.9945 | valid_loss=0.2982 | valid_acc=0.9636 | valid_macro_f1=0.7217 | lr=0.000250
Epoch 022 | train_loss=0.2202 | train_acc=0.9948 | valid_loss=0.3058 | valid_acc=0.9563 | valid_macro_f1=0.7321 | lr=0.000250
Epoch 023 | train_loss=0.2205 | train_acc=0.9946 | valid_loss=0.2803 | valid_acc=0.9719 | valid_macro_f1=0.7357 | lr=0.000125
Epoch 024 | train_loss=0.2182 | train_acc=0.9956 | valid_loss=0.2820 | valid_acc=0.9721 | valid_macro_f1=0.7581 | lr=0.000125
Epoch 025 | train_loss=0.2183 | train_acc=0.9954 | valid_loss=0.2937 | valid_acc=0.9640 | valid_macro_f1=0.7406 | lr=0.000125
Epoch 026 | train_loss=0.2182 | train_acc=0.9958 | valid_loss=0.2999 | valid_acc=0.9622 | valid_macro_f1=0.6973 | lr=0.000125
Epoch 027 | train_loss=0.2186 | train_acc=0.9953 | valid_loss=0.3058 | valid_acc=0.9659 | valid_macro_f1=0.7028 | lr=0.000063
Epoch 028 | train_loss=0.2180 | train_acc=0.9956 | valid_loss=0.2930 | valid_acc=0.9659 | valid_macro_f1=0.7208 | lr=0.000063
Epoch 029 | train_loss=0.2180 | train_acc=0.9954 | valid_loss=0.2858 | valid_acc=0.9702 | valid_macro_f1=0.7553 | lr=0.000063
Epoch 030 | train_loss=0.2173 | train_acc=0.9954 | valid_loss=0.2916 | valid_acc=0.9669 | valid_macro_f1=0.7284 | lr=0.000031
Epoch 031 | train_loss=0.2166 | train_acc=0.9962 | valid_loss=0.2888 | valid_acc=0.9694 | valid_macro_f1=0.7331 | lr=0.000031
Epoch 032 | train_loss=0.2174 | train_acc=0.9958 | valid_loss=0.2868 | valid_acc=0.9705 | valid_macro_f1=0.7300 | lr=0.000031
Epoch 033 | train_loss=0.2168 | train_acc=0.9959 | valid_loss=0.2926 | valid_acc=0.9663 | valid_macro_f1=0.7272 | lr=0.000016
Epoch 034 | train_loss=0.2166 | train_acc=0.9962 | valid_loss=0.2887 | valid_acc=0.9678 | valid_macro_f1=0.7378 | lr=0.000016
Epoch 035 | train_loss=0.2167 | train_acc=0.9961 | valid_loss=0.2895 | valid_acc=0.9672 | valid_macro_f1=0.7286 | lr=0.000016
Epoch 036 | train_loss=0.2165 | train_acc=0.9961 | valid_loss=0.2844 | valid_acc=0.9716 | valid_macro_f1=0.7373 | lr=0.000008
Epoch 037 | train_loss=0.2167 | train_acc=0.9960 | valid_loss=0.2843 | valid_acc=0.9719 | valid_macro_f1=0.7378 | lr=0.000008
Epoch 038 | train_loss=0.2159 | train_acc=0.9964 | valid_loss=0.2890 | valid_acc=0.9687 | valid_macro_f1=0.7264 | lr=0.000008
Epoch 039 | train_loss=0.2165 | train_acc=0.9961 | valid_loss=0.2854 | valid_acc=0.9715 | valid_macro_f1=0.7344 | lr=0.000004
Early stopping triggered at epoch 39.
Training complete | run=inter-none-lossweight0-seed44 | best_epoch=24 | best_valid_macro_f1=0.7581 | test_accuracy=0.9275 | test_macro_f1=0.4743 | final_epoch=39 | final_test_macro_f1=0.4768
=== none / intra / seed42
Epoch 001 | train_loss=0.4371 | train_acc=0.9310 | valid_loss=0.3133 | valid_acc=0.9677 | valid_macro_f1=0.8330 | lr=0.001000
Epoch 002 | train_loss=0.3044 | train_acc=0.9697 | valid_loss=0.2854 | valid_acc=0.9726 | valid_macro_f1=0.8647 | lr=0.001000
Epoch 003 | train_loss=0.2828 | train_acc=0.9745 | valid_loss=0.2689 | valid_acc=0.9770 | valid_macro_f1=0.8922 | lr=0.001000
Epoch 004 | train_loss=0.2681 | train_acc=0.9791 | valid_loss=0.2544 | valid_acc=0.9808 | valid_macro_f1=0.9009 | lr=0.001000
Epoch 005 | train_loss=0.2588 | train_acc=0.9820 | valid_loss=0.2481 | valid_acc=0.9831 | valid_macro_f1=0.9098 | lr=0.001000
Epoch 006 | train_loss=0.2541 | train_acc=0.9837 | valid_loss=0.2467 | valid_acc=0.9847 | valid_macro_f1=0.9263 | lr=0.001000
Epoch 007 | train_loss=0.2496 | train_acc=0.9853 | valid_loss=0.2427 | valid_acc=0.9851 | valid_macro_f1=0.9202 | lr=0.001000
Epoch 008 | train_loss=0.2471 | train_acc=0.9859 | valid_loss=0.2390 | valid_acc=0.9862 | valid_macro_f1=0.9285 | lr=0.001000
Epoch 009 | train_loss=0.2442 | train_acc=0.9869 | valid_loss=0.2369 | valid_acc=0.9876 | valid_macro_f1=0.9428 | lr=0.001000
Epoch 010 | train_loss=0.2416 | train_acc=0.9873 | valid_loss=0.2436 | valid_acc=0.9853 | valid_macro_f1=0.9273 | lr=0.001000
Epoch 011 | train_loss=0.2402 | train_acc=0.9881 | valid_loss=0.2347 | valid_acc=0.9888 | valid_macro_f1=0.9429 | lr=0.001000
Epoch 012 | train_loss=0.2385 | train_acc=0.9883 | valid_loss=0.2339 | valid_acc=0.9881 | valid_macro_f1=0.9459 | lr=0.001000
